AccNum,LoanType,RateType,RestructureLastSixMonths,Restructure,DaysPastDue,DefaultIndicator,Balance
115256347,AB2,Tracker,0,0,0,0,-90535.65293
115256647,AB2,Tracker,0,0,0,0,-270419.6598
115256947,AB1,Tracker,0,0,0,0,-173285.5463
115898561,AB1,Tracker,1,1,0,0,-353972.0208
115898861,AB1,Tracker,0,0,0,0,-169269.4166
115899161,AB1,Tracker,0,0,0,0,-17441.01035
115899461,Staff AB2,Variable,0,0,0,0,-188811.3503
115899761,Staff AB2,Tracker,0,0,0,0,-58319.3075
115900061,AB1,Tracker,0,0,0,0,-634405.2955
115900361,AB1,Tracker,0,0,0,0,-192592.5652
115900661,AB1,Tracker,0,0,0,0,-673673.8205
116351571,AB1,Tracker,0,0,0,0,-1085550.028
116351871,AB1,Tracker,0,0,0,0,-1101393.088
116352171,AB1,Tracker,0,0,0,0,-1118810.279
116352471,Staff AB2,Tracker,0,0,0,0,-23318.31749
116352771,AB1,Tracker,0,0,0,0,-215500.1424
116353071,AB2,Tracker,1,1,0,0,-297217.5916
116353371,Staff AB2,Tracker,0,0,0,0,-23171.20732
116353671,AB2,Tracker,0,0,0,0,-165182.6735
117722185,AB1,Tracker,0,0,0,0,-1148445.704
117722485,AB1,Tracker,0,0,0,0,-1080632.652
117722785,AB2,Tracker,0,0,0,0,-151787.3521
117723085,AB2,Tracker,0,0,0,0,-39541.01819
117723385,AB1,Tracker,0,0,0,0,-277540.5862
117723685,AB1,Tracker,0,0,0,0,-224196.8505
117723985,AB1,Tracker,0,0,0,0,-256624.4061
117724285,AB1,Tracker,0,0,0,0,-251747.9642
117789477,AB2,Tracker,0,0,0,0,-278491.0737
117789483,AB2,Tracker,0,0,0,0,-57513.8659
117789777,AB2,Tracker,0,0,0,0,-47384.72532
117789783,AB2,Variable,0,1,234,1,-261770.4423
117790077,Staff AB2,Tracker,0,0,0,0,-66846.74269
117790083,Staff AB1,Tracker,0,0,0,0,-67556.11445
117790377,Staff AB1,Tracker,0,0,0,0,-105250.0559
117790383,Staff AB1,Tracker,0,0,0,0,-180093.1746
117790677,AB1,Variable,0,0,0,0,-1188147.32
117790683,AB2,Tracker,1,1,0,0,-30702.76433
117790977,AB1,Tracker,0,0,0,0,-56375.45153
117790983,AB1,Tracker,0,0,0,0,-232995.6644
117791277,AB1,Tracker,0,0,0,0,-220098.7743
117791283,AB1,Variable,0,0,0,0,-805249.5335
117791577,Staff AB2,Variable,0,0,0,0,-303510.2787
117791583,Staff AB1,Variable,0,0,0,0,-210462.4447
118148721,AB1,Variable,0,0,0,0,-73868.71892
118148723,AB2,Variable,0,0,0,0,-140661.8309
118148735,AB1,Variable,1,1,0,0,-24607.60749
118149021,AB2,Fixed,0,0,0,0,-54812.55271
118149023,AB2,Fixed,0,0,0,0,-376927.8302
118149035,AB2,Variable,0,0,0,0,-51309.38789
118149321,AB2,Variable,0,0,0,0,-233717.496
118149323,AB2,Fixed,0,0,0,0,-217362.6992
118149335,AB1,Variable,0,0,0,0,-52804.29732
118149621,Staff AB2,Variable,0,0,0,0,-38071.90729
118149623,AB2,Fixed,0,0,0,0,-273913.2774
118149635,AB2,Fixed,0,0,0,0,-256199.8059
118149921,AB2,Variable,0,0,0,0,-66502.6336
118149923,AB2,Variable,0,0,0,0,-19819.65873
118149935,AB1,Tracker,0,0,0,0,-59634.03583
118150221,AB1,Tracker,0,1,0,0,-55628.85687
118150223,AB1,Tracker,0,0,0,0,-64345.88987
118150235,AB2,Variable,0,0,0,0,-30361.68094
118150521,AB1,Tracker,0,0,0,0,-78651.9325
118150523,AB1,Tracker,0,0,0,0,-81904.09465
118150535,AB1,Tracker,0,0,0,0,-91967.58923
118150821,AB3,Variable,0,0,0,0,-6752.5076
118150823,AB1,Tracker,0,0,0,0,-65807.88416
118150835,AB1,Tracker,0,0,0,0,-46219.65547
118506139,AB1,Tracker,0,0,0,0,-99951.1577
118506141,AB1,Tracker,0,0,0,0,-44398.76026
118506439,AB1,Tracker,0,0,0,0,-102754.703
118506441,AB2,Variable,0,1,42,0,-6136.785329
118506739,AB1,Variable,0,0,0,0,-55400.10724
118506741,AB2,Variable,0,0,0,0,-59723.87985
118507039,AB2,Variable,0,0,0,0,-202283.6569
118507041,AB1,Tracker,0,0,0,0,-58283.38454
118507339,AB2,Variable,0,0,0,0,-62286.8507
118507341,AB1,Tracker,0,0,0,0,-136280.3138
118507639,AB2,Fixed,0,0,0,0,-23866.10292
118507641,AB1,Tracker,0,0,0,0,-85664.04281
118507939,AB1,Tracker,0,0,0,0,-88817.26189
118507941,AB2,Tracker,0,0,0,0,-85580.84267
118664083,AB2,Tracker,0,0,0,0,-84401.94525
118664383,AB1,Tracker,1,1,0,0,-146050.9622
118664683,Staff AB2,Tracker,0,0,0,0,-40425.1101
118664983,Staff AB2,Variable,0,0,0,0,-180594.5382
118665283,AB2,Tracker,0,0,0,0,-36398.34868
118665583,AB1,Tracker,0,1,0,0,-202019.3356
118665883,AB2,Tracker,0,0,0,0,-17830.2991
118666183,AB2,Variable,0,0,0,0,-16392.98994
118912127,AB2,Fixed,0,0,0,0,-105340.9511
118912427,AB3,Tracker,0,0,0,0,-66732.28822
118912727,AB2,Variable,0,0,0,0,-83970.95511
118913027,AB2,Tracker,0,0,0,0,-75036.85854
118913327,AB1,Tracker,0,0,0,0,-53971.22756
118913627,Staff AB2,Variable,0,0,0,0,-75432.23969
118913927,AB1,Tracker,0,0,0,0,-129480.3814
118914227,Staff AB1,Variable,0,1,0,0,-91452.47692
119094741,AB2,Tracker,0,0,0,0,-44791.85353
119094743,AB1,Variable,0,0,0,0,-211287.1606
119095041,AB1,Tracker,0,0,0,0,-607702.6828
119095043,AB1,Tracker,0,0,0,0,-116695.2699
119095341,AB1,Tracker,0,0,0,0,-71588.41271
119095343,AB1,Tracker,0,0,0,0,-61069.00495
119095641,AB2,Fixed,0,0,0,0,-228970.4254
119095643,AB1,Tracker,0,1,0,0,-234623.8389
119095941,AB1,Tracker,0,0,0,0,-204880.4738
119095943,AB2,Variable,0,0,999,1,-59290.45788
119096241,AB1,Tracker,0,1,0,0,-129376.1179
119096243,AB1,Tracker,0,1,0,0,-132834.8488
119096541,AB1,Tracker,0,0,0,0,-151118.7258
119096543,AB1,Tracker,0,1,0,0,-135167.4157
119096841,AB1,Variable,0,0,0,0,-148480.8358
119096843,AB2,Variable,0,1,0,0,-168365.5399
119117471,AB2,Tracker,0,0,0,0,-236540.318
119117771,AB2,Variable,0,0,0,0,-106820.3568
119118071,AB1,Fixed,1,1,0,0,-77995.68329
119118371,AB1,Fixed,0,1,0,0,-73950.58606
119118671,AB1,Fixed,1,1,0,0,-80841.35747
119118971,AB2,Variable,1,1,0,0,-92119.48386
119119271,AB2,Tracker,0,0,0,0,-80706.09969
119119571,AB1,Tracker,0,1,0,0,-178588.8291
119358253,AB1,Tracker,0,0,0,0,-179728.3159
119358553,AB2,Tracker,0,0,0,0,-117715.0452
119358853,AB1,Tracker,0,0,0,0,-844790.4948
119359153,AB1,Tracker,0,0,0,0,-274561.3431
119359453,AB2,Fixed,1,1,0,0,-139402.5095
119359753,AB1,Tracker,0,0,0,0,-299665.1155
119360053,AB1,Fixed,1,1,0,0,-152681.2947
119360353,AB1,Tracker,0,0,0,0,-239445.125
119611341,AB1,Tracker,0,0,0,0,-198777.2692
119611641,AB1,Variable,0,0,163,1,-157536.8581
119611941,AB2,Tracker,0,0,0,0,-165590.0493
119612241,AB1,Variable,0,0,175,1,-18188.92488
119612541,AB2,Tracker,0,0,0,0,-125762.41
119612841,AB1,Tracker,0,0,0,0,-46140.89178
119613141,AB1,Tracker,1,1,0,0,-964643.455
119613441,AB1,Tracker,0,0,0,0,-999002.762
119620011,AB1,Tracker,0,1,0,0,-67291.26732
119620311,AB1,Tracker,0,0,0,0,-54507.53717
119620611,AB2,Variable,0,0,122,1,-45287.72888
119620911,AB1,Fixed,1,1,13,0,-143067.0105
119621211,AB2,Tracker,0,0,0,0,-1161152.401
119621511,AB1,Variable,0,0,0,0,-65049.15239
119621811,AB1,Variable,0,0,0,0,-196332.9237
119663045,AB1,Tracker,0,0,0,0,-220040.0687
119663345,AB1,Tracker,0,0,0,0,-222191.8304
119663645,AB2,Tracker,0,0,0,0,-143668.8632
119663945,AB2,Tracker,0,0,0,0,-173282.6912
119664245,AB2,Variable,0,0,3,0,-119426.8269
119664545,AB2,Tracker,0,0,0,0,-40865.19565
119664845,AB1,Tracker,0,0,0,0,-238800.2573
119665145,AB2,Fixed,0,0,0,0,-17736.74084
119731511,AB1,Tracker,0,0,0,0,-346941.8523
119731811,AB1,Variable,0,0,0,0,-274222.9163
119732111,Unknown,Tracker,0,0,0,0,-889012.924
119732411,AB1,Tracker,0,0,0,0,-259359.3546
119732711,AB1,Tracker,0,0,0,0,-314756.5122
119733011,AB1,Tracker,0,0,0,0,-276410.9162
119733311,AB1,Tracker,0,0,0,0,-269343.758
119755169,AB1,Tracker,0,0,0,0,-530971.0896
119755469,Staff AB1,Variable,0,1,0,0,-171942.361
119755769,AB3,Tracker,0,0,0,0,-94863.03525
119756069,AB1,Tracker,0,0,0,0,-359526.4979
119756369,AB2,Tracker,0,0,0,0,-32468.47268
119756669,AB2,Tracker,0,0,0,0,-253825.1001
119756969,Staff AB1,Tracker,0,0,0,0,-239628.5958
119757269,AB1,Tracker,0,0,0,0,-217993.5394
119975121,AB2,Tracker,0,0,0,0,-13087.21451
119975421,AB2,Tracker,0,0,0,0,-42333.91429
119975721,AB2,Tracker,0,0,0,0,-41145.65295
119976021,AB1,Tracker,0,0,0,0,-617886.8873
119976321,AB2,Variable,1,1,27,0,-138026.5697
119976621,AB2,Variable,1,1,0,0,-48819.87037
119976921,AB2,Tracker,0,0,0,0,-32502.45051
119977221,AB1,Tracker,0,0,0,0,-211688.4683
119993833,AB1,Tracker,1,1,0,0,-249359.7903
119994133,AB2,Tracker,0,0,0,0,-73173.32988
119994433,AB1,Tracker,0,0,0,0,-231838.062
119994733,AB2,Fixed,0,0,0,0,-279923.897
119995033,AB1,Tracker,1,1,0,0,-222851.1381
119995333,AB2,Tracker,0,1,0,0,-177862.4411
119995633,AB1,Tracker,0,0,0,0,-102523.7482
120035093,AB1,Tracker,0,0,0,0,-212464.1738
120035393,AB2,Tracker,0,0,0,0,-28033.63974
120035693,AB1,Tracker,0,1,0,0,-247478.6509
120035993,Staff AB1,Tracker,0,1,0,0,-72607.61003
120036293,Staff AB2,Tracker,0,1,0,0,-133427.3127
120036593,AB1,Variable,0,0,7,0,-66512.15327
120036893,AB2,Tracker,0,0,0,0,-27778.6943
120037193,Staff AB2,Variable,0,0,0,0,-117616.6294
120189591,Staff AB2,Tracker,0,0,0,0,-89675.64223
120189891,AB2,Tracker,0,0,0,0,-157127.938
120190191,AB1,Fixed,1,1,0,0,-77867.23828
120190491,AB1,Fixed,0,1,0,0,-76722.29208
120190791,AB1,Fixed,1,1,0,0,-82590.89018
120191091,AB2,Fixed,0,0,0,0,-334911.9386
120191391,AB2,Tracker,0,0,0,0,-85986.99939
120191691,AB2,Tracker,0,0,0,0,-278088.3266
120337945,AB1,Tracker,0,0,0,0,-162066.333
120338245,AB1,Tracker,1,1,0,0,-325957.5251
120338545,AB1,Tracker,0,0,0,0,-161230.0206
120338845,AB1,Tracker,0,0,0,0,-18249.49127
120339145,Staff AB2,Variable,0,0,0,0,-189510.5355
120339445,Staff AB2,Tracker,0,0,0,0,-62307.24
120339745,AB1,Tracker,0,0,0,0,-628958.0334
120340045,AB1,Tracker,0,0,0,0,-209069.5574
120456549,AB1,Tracker,0,0,0,0,-679694.0106
120456551,AB1,Tracker,0,0,0,0,-1109246.775
120456849,AB1,Tracker,0,0,0,0,-1149741.342
120456851,AB1,Tracker,0,0,0,0,-1105760.67
120457149,Staff AB2,Tracker,0,0,0,0,-22479.77327
120457151,AB1,Tracker,0,0,0,0,-211535.3265
120457449,AB2,Tracker,1,1,0,0,-277395.5651
120457451,Staff AB2,Tracker,0,0,0,0,-24484.68261
120457749,AB2,Tracker,0,0,0,0,-152138.0176
120457751,AB1,Tracker,0,0,0,0,-1116953.768
120458049,AB1,Tracker,0,0,0,0,-1146305.901
120458051,AB2,Tracker,0,0,0,0,-156452.8947
120458349,AB2,Tracker,0,0,0,0,-36875.88013
120458351,AB1,Tracker,0,0,0,0,-261415.0789
120458649,AB1,Tracker,0,0,0,0,-209388.458
120458651,AB1,Tracker,0,0,0,0,-251073.425
120521909,AB1,Tracker,0,0,0,0,-233791.3225
120522209,AB2,Tracker,0,0,0,0,-288465.723
120522509,AB2,Tracker,0,0,0,0,-60656.86319
120522809,AB2,Tracker,0,0,0,0,-48877.75647
120523109,AB2,Variable,0,1,234,1,-239456.5841
120523409,Staff AB2,Tracker,0,0,0,0,-66269.52326
120523709,Staff AB1,Tracker,0,0,0,0,-67340.86831
120569155,Staff AB1,Tracker,0,0,0,0,-99894.57867
120569455,Staff AB1,Tracker,0,0,0,0,-174693.1317
120569755,AB1,Variable,0,0,0,0,-1137412.464
120570055,AB2,Tracker,1,1,0,0,-30264.68319
120570355,AB1,Tracker,0,0,0,0,-53573.47416
120570655,AB1,Tracker,0,0,0,0,-226169.7455
120570955,AB1,Tracker,0,0,0,0,-215461.9277
120571255,AB1,Variable,0,0,0,0,-751943.7207
120599169,Staff AB2,Variable,0,0,0,0,-289805.9611
120599469,Staff AB1,Variable,0,0,0,0,-209055.1866
120599769,AB1,Variable,0,0,0,0,-75034.52915
120600069,AB2,Variable,0,0,0,0,-143110.7187
120600369,AB1,Variable,1,1,0,0,-23917.29223
120600669,AB2,Fixed,0,0,0,0,-52773.95773
120600969,AB2,Fixed,0,0,0,0,-353509.4832
120601269,AB2,Variable,0,0,0,0,-56133.35659
120616509,AB2,Variable,0,0,0,0,-234241.225
120616809,AB2,Fixed,0,0,0,0,-207647.0338
120617109,AB1,Variable,0,0,0,0,-53172.54752
120617409,Staff AB2,Variable,0,0,0,0,-39458.45927
120617709,AB2,Fixed,0,0,0,0,-268287.9735
120618009,AB2,Fixed,0,0,0,0,-279077.7829
120618309,AB2,Variable,0,0,0,0,-63457.68817
120618609,AB2,Variable,0,0,0,0,-20200.19312
120653091,AB1,Tracker,0,0,0,0,-57025.37889
120653095,AB1,Tracker,0,1,0,0,-58548.99721
120653097,AB1,Tracker,0,0,0,0,-60498.83927
120653099,AB2,Variable,0,0,0,0,-28479.27247
120653391,AB1,Tracker,0,0,0,0,-82522.58534
120653395,AB1,Tracker,0,0,0,0,-82694.17662
120653397,AB1,Tracker,0,0,0,0,-92645.5908
120653399,AB3,Variable,0,0,0,0,-6704.391714
120653691,AB1,Tracker,0,0,0,0,-64752.00419
120653695,AB1,Tracker,0,0,0,0,-49895.35883
120653697,AB1,Tracker,0,0,0,0,-103780.3825
120653699,AB1,Tracker,0,0,0,0,-45615.12272
120653991,AB1,Tracker,0,0,0,0,-105509.6615
120653995,AB2,Variable,0,1,42,0,-5680.66614
120653997,AB1,Variable,0,0,0,0,-58118.96692
120653999,AB2,Variable,0,0,0,0,-58402.1667
120654291,AB2,Variable,0,0,0,0,-203208.2027
120654295,AB1,Tracker,0,0,0,0,-61413.53237
120654297,AB2,Variable,0,0,0,0,-60237.05655
120654299,AB1,Tracker,0,0,0,0,-135981.2752
120654591,AB2,Fixed,0,0,0,0,-25623.62104
120654595,AB1,Tracker,0,0,0,0,-90868.9171
120654597,AB1,Tracker,0,0,0,0,-86190.92251
120654599,AB2,Tracker,0,0,0,0,-81235.06015
120654891,AB2,Tracker,0,0,0,0,-85108.89411
120654895,AB1,Tracker,1,1,0,0,-145541.6674
120654897,Staff AB2,Tracker,0,0,0,0,-39570.89851
120654899,Staff AB2,Variable,0,0,0,0,-185095.0757
120655191,AB2,Tracker,0,0,0,0,-36580.1552
120655195,AB1,Tracker,0,1,0,0,-209692.9905
120655197,AB2,Tracker,0,0,0,0,-18354.17803
120655199,AB2,Variable,0,0,0,0,-16635.63825
120989381,AB2,Fixed,0,0,0,0,-108172.6843
120989681,AB3,Tracker,0,0,0,0,-63619.1886
120989981,AB2,Variable,0,0,0,0,-85575.11967
120990281,AB2,Tracker,0,0,0,0,-75217.2312
120990581,AB1,Tracker,0,0,0,0,-55245.54649
120990881,Staff AB2,Variable,0,0,0,0,-74021.03304
120991181,AB1,Tracker,0,0,0,0,-130727.7521
120991481,Staff AB1,Variable,0,1,0,0,-94697.33178
121038981,AB2,Tracker,0,0,0,0,-45593.93997
121039281,AB1,Variable,0,0,0,0,-212330.8072
121039581,AB1,Tracker,0,0,0,0,-584236.8646
121039881,AB1,Tracker,0,0,0,0,-114712.0441
121040181,AB1,Tracker,0,0,0,0,-68919.5529
121040481,AB1,Tracker,0,0,0,0,-58128.59747
121040781,AB2,Fixed,0,0,0,0,-235321.0482
121041081,AB1,Tracker,0,1,0,0,-230048.0639
121189083,AB1,Tracker,0,0,0,0,-192242.3891
121189383,AB2,Variable,0,0,999,1,-60199.58679
121189683,AB1,Tracker,0,1,0,0,-141593.1871
121189983,AB1,Tracker,0,1,0,0,-132468.6755
121190283,AB1,Tracker,0,0,0,0,-148046.3153
121190583,AB1,Tracker,0,1,0,0,-131055.5963
121190883,AB1,Variable,0,0,0,0,-146016.8405
121191183,AB2,Variable,0,1,0,0,-161262.9861
121208983,AB2,Tracker,0,0,0,0,-233607.3046
121209283,AB2,Variable,0,0,0,0,-105689.7789
121209583,AB1,Fixed,1,1,0,0,-76602.37336
121209883,AB1,Fixed,0,1,0,0,-76230.92473
121210183,AB1,Fixed,1,1,0,0,-79143.10894
121210483,AB2,Variable,1,1,0,0,-91041.87609
121210783,AB2,Tracker,0,0,0,0,-84527.80271
121211083,AB1,Tracker,0,1,0,0,-176060.3623
121427247,AB1,Tracker,0,0,0,0,-179480.7104
121427547,AB2,Tracker,0,0,0,0,-120824.2904
121427847,AB1,Tracker,0,0,0,0,-812597.2169
121428147,AB1,Tracker,0,0,0,0,-272746.5141
121428447,AB2,Fixed,1,1,0,0,-141168.6733
121428747,AB1,Tracker,0,0,0,0,-286758.8477
121429047,AB1,Fixed,1,1,0,0,-146002.3978
121429347,AB1,Tracker,0,0,0,0,-248685.9006
121437861,AB1,Tracker,0,0,0,0,-210966.4743
121438161,AB1,Variable,0,0,163,1,-148045.4215
121438461,AB2,Tracker,0,0,0,0,-160599.9555
121438761,AB1,Variable,0,0,175,1,-17205.9705
121439061,AB2,Tracker,0,0,0,0,-126757.5561
121439361,AB1,Tracker,0,0,0,0,-45556.78674
121439661,AB1,Tracker,1,1,0,0,-992549.6242
121439961,AB1,Tracker,0,0,0,0,-940107.0931
121481445,AB1,Tracker,0,1,0,0,-61785.40653
121481745,AB1,Tracker,0,0,0,0,-50322.37839
121482045,AB2,Variable,0,0,122,1,-43937.24715
121482345,AB1,Fixed,1,1,13,0,-153662.4681
121482645,AB2,Tracker,0,0,0,0,-1272537.025
121482945,AB1,Variable,0,0,0,0,-64068.65489
121483245,AB1,Variable,0,0,0,0,-197015.7002
121483545,AB1,Tracker,0,0,0,0,-223309.9423
121640469,AB1,Tracker,0,0,0,0,-235978.36
121640769,AB2,Tracker,0,0,0,0,-147872.2436
121641069,AB2,Tracker,0,0,0,0,-179876.6051
121641369,AB2,Variable,0,0,3,0,-125467.0366
121641669,AB2,Tracker,0,0,0,0,-41127.95061
121641969,AB1,Tracker,0,0,0,0,-223486.2126
121642269,AB2,Fixed,0,0,0,0,-19001.09264
121706269,AB1,Tracker,0,0,0,0,-349465.6443
121706569,AB1,Variable,0,0,0,0,-262010.6648
121706869,Unknown,Tracker,0,0,0,0,-894237.0713
121707169,AB1,Tracker,0,0,0,0,-238150.2647
121707469,AB1,Tracker,0,0,0,0,-339155.9849
121707769,AB1,Tracker,0,0,0,0,-276565.4083
121708069,AB1,Tracker,0,0,0,0,-270394.5187
121708369,AB1,Tracker,0,0,0,0,-537997.5054
121798501,Staff AB1,Variable,0,1,0,0,-174648.9219
121798507,AB3,Tracker,0,0,0,0,-96169.57261
121798801,AB1,Tracker,0,0,0,0,-361287.4508
121798807,AB2,Tracker,0,0,0,0,-33925.58795
121799101,AB2,Tracker,0,0,0,0,-267184.8806
121799107,Staff AB1,Tracker,0,0,0,0,-224592.2011
